Transaction Date,Description,City,Country,TXN Currency,TXN Amount,OMR Amount
2025-10-15,MCDONALDS MUSCAT,Muscat,OMN,OMR,-8.724,-8.724
2025-10-17,TALABAT,Muscat,OMN,OMR,-4.032,-4.032
2025-10-17,ZAKAT FUND,Muscat,OMN,OMR,-18.494,-18.494
2025-10-19,SUBWAY MUSCAT,Muscat,OMN,OMR,-6.771,-6.771
2025-10-19,AL MAHA STATION,Muscat,OMN,OMR,-21.744,-21.744
2025-10-21,DUNKIN DONUTS MUSCAT,Muscat,OMN,OMR,-8.991,-8.991
2025-10-22,OOREDOO OMAN,Muscat,OMN,OMR,-12.538,-12.538
2025-10-23,OMAN OIL STATION,Muscat,OMN,OMR,-16.775,-16.775
2025-10-24,ROUND TABLE CAFE,Muscat,OMN,OMR,-9.332,-9.332
2025-10-24,MCDONALDS MUSCAT,Muscat,OMN,OMR,-16.272,-16.272
2025-10-24,PAYMENT RECEIVED,Muscat,OMN,OMR,734.332,734.332
2025-10-25,PADEL COURT MUSCAT,Muscat,OMN,OMR,-8.987,-8.987
2025-10-26,SPAR SUPERMARKET,Muscat,OMN,OMR,-55.262,-55.262
2025-10-26,CARREFOUR,Muscat,OMN,OMR,-56.306,-56.306
2025-10-26,NOON FOOD,Muscat,OMN,OMR,-6.634,-6.634
2025-10-27,MCDONALDS MUSCAT,Muscat,OMN,OMR,-3.707,-3.707
2025-10-27,NOON FOOD,Muscat,OMN,OMR,-5.787,-5.787
2025-10-27,LAAM,Muscat,OMN,OMR,-53.551,-53.551
2025-11-03,AL MAHA STATION,Muscat,OMN,OMR,-27.504,-27.504
2025-11-05,SPAR SUPERMARKET,Muscat,OMN,OMR,-45.214,-45.214
2025-11-05,SPAR SUPERMARKET,Muscat,OMN,OMR,-70.744,-70.744
2025-11-06,BABA SALEM RESTAURANT,Muscat,OMN,OMR,-3.909,-3.909
2025-11-06,AL MAHA STATION,Muscat,OMN,OMR,-12.809,-12.809
2025-11-08,OOREDOO OMAN,Muscat,OMN,OMR,-13.69,-13.69
2025-11-08,NAMA WATER,Muscat,OMN,OMR,-32.022,-32.022
2025-11-09,KFC MUSCAT,Muscat,OMN,OMR,-4.415,-4.415
2025-11-09,GULF INSURANCE,Muscat,OMN,OMR,-49.992,-49.992
2025-11-09,BOOKING.COM,Amsterdam,NLD,OMR,-73.407,-73.407
2025-11-10,TALABAT,Muscat,OMN,OMR,-5.916,-5.916
2025-11-11,AL RAVI RESTAURANT,Muscat,OMN,OMR,-13.035,-13.035
2025-11-11,TALABAT,Muscat,OMN,OMR,-8.626,-8.626
2025-11-11,AL HAYAT CLINIC,Muscat,OMN,OMR,-32.796,-32.796
2025-11-12,ADIDAS MUSCAT,Muscat,OMN,OMR,-44.995,-44.995
2025-11-13,BOOM CAFE,Muscat,OMN,OMR,-4.063,-4.063
2025-11-13,NOON FOOD,Muscat,OMN,OMR,-12.006,-12.006
2025-11-15,PAYMENT RECEIVED,Muscat,OMN,OMR,725.971,725.971
2025-11-16,BABA SALEM RESTAURANT,Muscat,OMN,OMR,-8.314,-8.314
2025-11-17,KFC MUSCAT,Muscat,OMN,OMR,-15.958,-15.958
2025-11-17,NOON FOOD,Muscat,OMN,OMR,-5.402,-5.402
2025-11-17,OMAN OIL STATION,Muscat,OMN,OMR,-24.928,-24.928
2025-11-20,AL RAVI RESTAURANT,Muscat,OMN,OMR,-4.985,-4.985
2025-11-21,SPAR SUPERMARKET,Muscat,OMN,OMR,-39.91,-39.91
2025-11-21,DUNKIN DONUTS MUSCAT,Muscat,OMN,OMR,-11.643,-11.643
2025-11-21,VOX CINEMAS,Muscat,OMN,OMR,-15.772,-15.772
2025-11-21,DONATION PORTAL,Muscat,OMN,OMR,-12.152,-12.152
2025-11-24,STARBUCKS MUSCAT,Muscat,OMN,OMR,-12.802,-12.802
2025-11-24,DECATHLON MUSCAT,Muscat,OMN,OMR,-68.036,-68.036
2025-11-25,LULU HYPERMARKET,Muscat,OMN,OMR,-58.4,-58.4
2025-11-26,VOX CINEMAS,Muscat,OMN,OMR,-9.018,-9.018
2025-11-28,AL RAVI RESTAURANT,Muscat,OMN,OMR,-10.095,-10.095
2025-12-04,ZARA MUSCAT,Muscat,OMN,OMR,-12.277,-12.277
2025-12-04,MARHABA LOUNGE,Muscat,OMN,OMR,-170.227,-170.227
2025-12-04,BOOKING.COM,Amsterdam,NLD,OMR,-75.487,-75.487
2025-12-05,MEAT MOOT,Muscat,OMN,OMR,-9.288,-9.288
2025-12-05,ROUND TABLE CAFE,Muscat,OMN,OMR,-3.14,-3.14
2025-12-05,AL SHIFA PHARMACY,Muscat,OMN,OMR,-24.029,-24.029
2025-12-06,AL FAIR,Muscat,OMN,OMR,-72.372,-72.372
2025-12-07,KFC MUSCAT,Muscat,OMN,OMR,-13.075,-13.075
2025-12-07,REVEAL CAFE,Muscat,OMN,OMR,-16.999,-16.999
2025-12-07,OMAN OIL STATION,Muscat,OMN,OMR,-16.231,-16.231
2025-12-08,LULU HYPERMARKET,Muscat,OMN,OMR,-33.083,-33.083
2025-12-09,OIFC,Muscat,OMN,OMR,-43.437,-43.437
2025-12-10,TALABAT,Muscat,OMN,OMR,-7.695,-7.695
2025-12-10,PADEL COURT MUSCAT,Muscat,OMN,OMR,-17.834,-17.834
2025-12-11,DUNKIN DONUTS MUSCAT,Muscat,OMN,OMR,-6.064,-6.064
2025-12-12,NOON FOOD,Muscat,OMN,OMR,-10.117,-10.117
2025-12-12,AL MAHA STATION,Muscat,OMN,OMR,-26.908,-26.908
2025-12-12,OMANTEL,Muscat,OMN,OMR,-16.468,-16.468
2025-12-13,IMPERIAL KITCHEN,Muscat,OMN,OMR,-6.58,-6.58
2025-12-14,OMANAIR,Muscat,OMN,OMR,-57.814,-57.814
2025-12-16,MARHABA LOUNGE,Muscat,OMN,OMR,-195.291,-195.291
2025-12-16,PADEL COURT MUSCAT,Muscat,OMN,OMR,-4.397,-4.397
2025-12-17,REVEAL CAFE,Muscat,OMN,OMR,-7.743,-7.743
2025-12-17,TALABAT,Muscat,OMN,OMR,-12.337,-12.337
2025-12-17,PAYMENT RECEIVED,Muscat,OMN,OMR,1400.691,1400.691
2025-12-19,NOON FOOD,Muscat,OMN,OMR,-4.078,-4.078
2025-12-19,OIFC,Muscat,OMN,OMR,-36.076,-36.076
2025-12-20,MCDONALDS MUSCAT,Muscat,OMN,OMR,-6.197,-6.197
2025-12-20,EXTRA ELECTRONICS,Muscat,OMN,OMR,-12.754,-12.754
2025-12-20,MAKEMYTRIP,Muscat,OMN,OMR,-46.657,-46.657
2025-12-21,SPAR SUPERMARKET,Muscat,OMN,OMR,-56.753,-56.753
2025-12-21,MEAT MOOT,Muscat,OMN,OMR,-10.842,-10.842
2025-12-21,MEAT MOOT,Muscat,OMN,OMR,-17.941,-17.941
2025-12-23,CENTREPOINT MUSCAT,Muscat,OMN,OMR,-88.424,-88.424
2025-12-24,LULU HYPERMARKET,Muscat,OMN,OMR,-68.782,-68.782
2025-12-24,AIRBNB DUBAI,Dubai,ARE,OMR,-38.503,-38.503
2025-12-25,LAAM,Muscat,OMN,OMR,-82.506,-82.506
2025-12-26,OMAN OIL STATION,Muscat,OMN,OMR,-20.852,-20.852
2025-12-26,CENTREPOINT MUSCAT,Muscat,OMN,OMR,-46.463,-46.463
2025-12-28,ZAKAT FUND,Muscat,OMN,OMR,-18.962,-18.962
2026-01-04,REVEAL CAFE,Muscat,OMN,OMR,-4.626,-4.626
2026-01-05,BOOM CAFE,Muscat,OMN,OMR,-17.503,-17.503
2026-01-05,FUNTAZMO,Muscat,OMN,OMR,-17.095,-17.095
2026-01-06,FILLI CAFE,Muscat,OMN,OMR,-8.778,-8.778
2026-01-06,AL MAHA STATION,Muscat,OMN,OMR,-23.516,-23.516
2026-01-07,DONATION PORTAL,Muscat,OMN,OMR,-5.366,-5.366
2026-01-09,NOON FOOD,Muscat,OMN,OMR,-6.547,-6.547
2026-01-10,AL FAIR,Muscat,OMN,OMR,-38.981,-38.981
2026-01-10,SPAR SUPERMARKET,Muscat,OMN,OMR,-31.065,-31.065
2026-01-11,MCDONALDS MUSCAT,Muscat,OMN,OMR,-5.679,-5.679
2026-01-12,MARRIOTT HOTEL DUBAI,Dubai,ARE,OMR,-57.833,-57.833
2026-01-13,FILLI CAFE,Muscat,OMN,OMR,-17.089,-17.089
2026-01-13,AL MAHA STATION,Muscat,OMN,OMR,-21.97,-21.97
2026-01-13,GULF INSURANCE,Muscat,OMN,OMR,-32.889,-32.889
2026-01-14,AL FAIR,Muscat,OMN,OMR,-43.734,-43.734
2026-01-14,REVEAL CAFE,Muscat,OMN,OMR,-12.622,-12.622
2026-01-14,KFC MUSCAT,Muscat,OMN,OMR,-13.928,-13.928
2026-01-15,LULU HYPERMARKET,Muscat,OMN,OMR,-69.248,-69.248
2026-01-15,AL RAVI RESTAURANT,Muscat,OMN,OMR,-7.924,-7.924
2026-01-16,WINDROSE CAFE,Muscat,OMN,OMR,-12.093,-12.093
2026-01-16,NOON FOOD,Muscat,OMN,OMR,-4.017,-4.017
2026-01-16,SHELL OMAN,Muscat,OMN,OMR,-13.12,-13.12
2026-01-17,OTAXI,Muscat,OMN,OMR,-99.589,-99.589
2026-01-17,PAYMENT RECEIVED,Muscat,OMN,OMR,1256.717,1256.717
2026-01-19,OMANTEL,Muscat,OMN,OMR,-12.33,-12.33
2026-01-19,AIRBNB DUBAI,Dubai,ARE,OMR,-105.174,-105.174
2026-01-20,OIFC,Muscat,OMN,OMR,-22.71,-22.71
2026-01-20,EXTRA ELECTRONICS,Muscat,OMN,OMR,-77.031,-77.031
2026-01-22,CENTREPOINT MUSCAT,Muscat,OMN,OMR,-56.39,-56.39
2026-01-22,MAKEMYTRIP,Muscat,OMN,OMR,-137.847,-137.847
2026-01-24,KFC MUSCAT,Muscat,OMN,OMR,-17.717,-17.717
2026-01-24,NOON FOOD,Muscat,OMN,OMR,-11.194,-11.194
2026-01-24,AL HAYAT CLINIC,Muscat,OMN,OMR,-33.211,-33.211
2026-01-24,BOOKING.COM,Amsterdam,NLD,OMR,-35.263,-35.263
2026-01-24,MARHABA LOUNGE,Muscat,OMN,OMR,-133.929,-133.929
2026-01-24,PADEL COURT MUSCAT,Muscat,OMN,OMR,-8.967,-8.967
2026-01-26,NOON FOOD,Muscat,OMN,OMR,-10.706,-10.706
2026-02-03,OTAXI,Muscat,OMN,OMR,-189.693,-189.693
2026-02-06,DUNKIN DONUTS MUSCAT,Muscat,OMN,OMR,-14.676,-14.676
2026-02-08,AL RAVI RESTAURANT,Muscat,OMN,OMR,-15.062,-15.062
2026-02-10,FILLI CAFE,Muscat,OMN,OMR,-16.762,-16.762
2026-02-10,SHELL OMAN,Muscat,OMN,OMR,-16.347,-16.347
2026-02-10,OOREDOO OMAN,Muscat,OMN,OMR,-13.362,-13.362
2026-02-11,TALABAT PRO,Muscat,OMN,OMR,-11.518,-11.518
2026-02-11,NOON FOOD,Muscat,OMN,OMR,-11.658,-11.658
2026-02-15,AL FAIR,Muscat,OMN,OMR,-40.979,-40.979
2026-02-15,EXTRA ELECTRONICS,Muscat,OMN,OMR,-82.577,-82.577
2026-02-16,GULF INSURANCE,Muscat,OMN,OMR,-30.243,-30.243
2026-02-16,AL HAYAT CLINIC,Muscat,OMN,OMR,-6.868,-6.868
2026-02-17,LULU HYPERMARKET,Muscat,OMN,OMR,-48.65,-48.65
2026-02-17,MCDONALDS MUSCAT,Muscat,OMN,OMR,-5.0,-5.0
2026-02-17,ROUND TABLE CAFE,Muscat,OMN,OMR,-12.19,-12.19
2026-02-17,SHELL OMAN,Muscat,OMN,OMR,-13.24,-13.24
2026-02-18,NOON FOOD,Muscat,OMN,OMR,-10.267,-10.267
2026-02-18,DONATION PORTAL,Muscat,OMN,OMR,-8.291,-8.291
2026-02-19,IMPERIAL KITCHEN,Muscat,OMN,OMR,-9.968,-9.968
2026-02-19,IMPERIAL KITCHEN,Muscat,OMN,OMR,-9.401,-9.401
2026-02-20,DUNKIN DONUTS MUSCAT,Muscat,OMN,OMR,-9.689,-9.689
2026-02-20,SHELL OMAN,Muscat,OMN,OMR,-13.289,-13.289
2026-02-20,MUSCAT FESTIVAL,Muscat,OMN,OMR,-15.96,-15.96
2026-02-22,FILLI CAFE,Muscat,OMN,OMR,-7.759,-7.759
2026-02-23,PAYMENT RECEIVED,Muscat,OMN,OMR,859.286,859.286
2026-02-24,SUBWAY MUSCAT,Muscat,OMN,OMR,-10.967,-10.967
2026-02-25,SPAR SUPERMARKET,Muscat,OMN,OMR,-61.336,-61.336
2026-02-25,KHEDMAH,Muscat,OMN,OMR,-25.916,-25.916
2026-02-26,TALABAT,Muscat,OMN,OMR,-12.615,-12.615
2026-02-27,LULU HYPERMARKET,Muscat,OMN,OMR,-68.72,-68.72
2026-02-27,NAMSHI,Muscat,OMN,OMR,-56.904,-56.904
2026-02-27,FUNTAZMO,Muscat,OMN,OMR,-10.24,-10.24
